categoria,nivel,pergunta,opcao_a,opcao_b,opcao_c,correta
Michael Jackson,Fácil,Qual foi o álbum mais vendido da história do MJ?,Thriller,Bad,Off the Wall,Thriller
Michael Jackson,Fácil,Qual é o nome do passo de dança mais famoso do MJ?,Sunwalk,Moonwalk,Starwalk,Moonwalk
Michael Jackson,Fácil,Qual o nome do grupo que o MJ fazia parte no inicio de sua carreira?,Jackson 5,The Jackson's,Jackson,Jackson 5
Michael Jackson,Fácil,Qual clipe do MJ contem zumbis?,Smooth Criminal,Bad,Thriller,Thriller
Michael Jackson,Fácil,De que cor era a jaqueta icônica usada no clipe de Thriller?,Vermelha,Preta,Azul,Vermelha
Michael Jackson,Fácil,Como os fãs e a mídia costumam chamar Michael Jackson?,Rei do Pop,Príncipe do Pop,Imperador da Dança,Rei do Pop
Michael Jackson,Fácil,Qual acessório de cabeça Michael Jackson costumava usar nas performances de Billie Jean?,Chapéu Fedora,Boné,Cartola,Chapéu Fedora
Michael Jackson,Fácil,Qual música famosa repete a frase "Annie are you ok?"?,Smooth Criminal,Beat It,Billie Jean,Smooth Criminal
Michael Jackson,Fácil,Em qual clipe Michael Jackson inclina o corpo para frente desafiando a gravidade?,Smooth Criminal,Bad,Beat It,Smooth Criminal
Michael Jackson,Fácil,Em qual clipe Michael Jackson dança para separar duas gangues rivais?,Beat It,Bad,Thriller,Beat It
Michael Jackson,Fácil,Em qual música Michael Jackson fez o passo Moonwalk pela primeira vez na TV?,Billie Jean,Thriller,Beat It,Billie Jean
Michael Jackson,Fácil,Qual música tem um clipe famoso por mostrar rostos de pessoas de diferentes etnias se transformando?,Black or White,Bad,Earth Song,Black or White
Michael Jackson,Fácil,Michael Jackson começou sua carreira cantando com seus...,Primos,Amigos,Irmãos,Irmãos
Michael Jackson,Fácil,Qual é a famosa interjeição vocal que Michael Jackson faz em várias músicas?,Au!,Hee-Hee!,Yeah!,Hee-Hee!
Michael Jackson,Fácil,Qual música famosa fala sobre curar o mundo e torná-lo um lugar melhor?,Earth Song,Heal the World,We Are the World,Heal the World
Michael Jackson,Médio,Qual é o Nome do rancho do MJ?,walkland,Neverland,worldland,Neverland
Michael Jackson,Médio,Qual é a cor da luva icônica que ele usou na premiação de 1983?,Branca,Preta,Prata,Prata
Michael Jackson,Médio,Qual o nome do macaco de estimação?,Ben,Bubbles,Loui,Bubbles
Michael Jackson,Médio,Qual o nome da Irmã famosa do MJ? (dica: eles fizeram um clipe juntos),La toya,Susie,Janet,Janet
Michael Jackson,Médio,Qual música tem um videoclipe que se passa no Egito Antigo?,Remember the Time,Black or White,Bad,Remember the Time
Michael Jackson,Médio,Com qual ex-Beatle Michael Jackson gravou a música Say Say Say?,Paul McCartney,John Lennon,Ringo Starr,Paul McCartney
Michael Jackson,Médio,Qual doença causou manchas na pele do cantor?,Vitiligo,Lúpus,Anemia,Vitiligo
Michael Jackson,Médio,Quem produziu o álbum Thriller?,Quincy Jones,Dr. Dre,Prince,Quincy Jones
